iter	Logloss
0	0.6840621582
1	0.6744933594
2	0.665480957
3	0.6570297363
4	0.6481812012
5	0.6397852051
6	0.6315497559
7	0.6236222656
8	0.6163641602
9	0.6086887695
10	0.6014267578
11	0.5945541504
12	0.5875331055
13	0.5812303223
14	0.5745723633
15	0.5679181152
16	0.5616795898
17	0.5559626953
18	0.5502893555
19	0.544723291
20	0.5388683105
21	0.5333621094
22	0.5279653809
23	0.5225666504
24	0.5173659668
25	0.5122872559
26	0.5074510742
27	0.5030346191
28	0.4984083984
29	0.4939077637
30	0.4895143555
31	0.4855254883
32	0.4816920898
33	0.4778383789
34	0.4737897949
35	0.4700036621
36	0.4665692383
37	0.4628571289
38	0.4595261719
39	0.4562774414
40	0.4528900879
41	0.4498076172
42	0.4468550293
43	0.4439023926
44	0.4408813965
45	0.4379081055
46	0.4349724121
47	0.4323399414
48	0.429792041
49	0.427022168
50	0.4243725098
51	0.4217818848
52	0.4192468262
53	0.4167537109
54	0.4143447266
55	0.412030957
56	0.4096895996
57	0.4074460693
58	0.4055075684
59	0.403473291
60	0.4013958008
61	0.39956604
62	0.3975729248
63	0.3956372803
64	0.3938939209
65	0.3922607666
66	0.3905790771
67	0.3889623779
68	0.3874071045
69	0.3857282715
70	0.3840857666
71	0.3827538818
72	0.3811932861
73	0.3797168457
74	0.3781999512
75	0.3769356201
76	0.3756247803
77	0.3742581543
78	0.3729157227
79	0.3717311523
80	0.3705150391
81	0.3692211182
82	0.3681245361
83	0.3668900391
84	0.3657989014
85	0.3646230713
86	0.3635715576
87	0.3624426025
88	0.3612984863
89	0.3602203857
90	0.359317627
91	0.3582939209
92	0.3573084229
93	0.3563376465
94	0.3554452637
95	0.3545806152
96	0.3537844238
97	0.3528918213
98	0.3520414063
99	0.351254248
100	0.3504895264
101	0.3497897461
102	0.349023584
103	0.348254248
104	0.3476277832
105	0.3470091309
106	0.3464128906
107	0.3457644287
108	0.3450744873
109	0.3444301514
110	0.343730249
111	0.3432359863
112	0.342701123
113	0.3420526123
114	0.3414628906
115	0.3409200439
116	0.3404077881
117	0.3398200684
118	0.3392421143
119	0.3387436523
120	0.3381849121
121	0.3377386963
122	0.337218335
123	0.3366675781
124	0.3362636475
125	0.3357121582
126	0.3352874023
127	0.3348126709
128	0.3344231934
129	0.3339824707
130	0.3335509521
131	0.3331614014
132	0.3327638184
133	0.3323198486
134	0.3319040771
135	0.3314723145
136	0.3310618408
137	0.3307494873
138	0.3303506592
139	0.3299547119
140	0.3296392822
141	0.3292852295
142	0.328906958
143	0.3285635986
144	0.3282235352
145	0.3279147949
146	0.3276092529
147	0.3272796875
148	0.3269332031
149	0.3266158691
150	0.3262797119
151	0.3259200684
152	0.3256324951
153	0.325351123
154	0.3250588867
155	0.3247719238
156	0.3245203613
157	0.3242402832
158	0.323997998
159	0.3237357178
160	0.3234237305
161	0.3231677979
162	0.3229133301
163	0.3226661621
164	0.3224650635
165	0.3222491699
166	0.3220489258
167	0.3218060059
168	0.3215613037
169	0.3213356934
170	0.3211272217
171	0.3208797852
172	0.3207154297
173	0.320483667
174	0.3202718262
175	0.3200527588
176	0.3198313965
177	0.3196227295
178	0.3194700195
179	0.3192853271
180	0.319089624
181	0.318919165
182	0.3187187744
183	0.3185236816
184	0.3182979004
185	0.3181116211
186	0.3179376465
187	0.3177475098
188	0.3176001221
189	0.3174111816
190	0.3172390381
191	0.3170765869
192	0.3168836182
193	0.3167015625
194	0.3165084473
195	0.3163524658
196	0.3161693359
197	0.3160203857
198	0.3158727783
199	0.3156915527
