iter	Passed	Remaining
0	15	15741
1	30	15078
2	45	14965
3	58	14569
4	71	14267
5	85	14199
6	98	13980
7	112	13988
8	125	13838
9	138	13701
10	153	13776
11	167	13801
12	182	13866
13	195	13759
14	209	13755
15	222	13680
16	235	13593
17	251	13714
18	265	13723
19	278	13636
20	291	13609
21	304	13536
22	316	13460
23	330	13441
24	343	13378
25	356	13356
26	370	13339
27	382	13276
28	394	13221
29	409	13226
30	423	13227
31	435	13180
32	449	13172
33	462	13127
34	474	13080
35	487	13045
36	500	13035
37	513	12998
38	527	12988
39	539	12946
40	551	12905
41	565	12894
42	577	12857
43	591	12841
44	603	12810
45	616	12776
46	629	12771
47	642	12740
48	655	12722
49	668	12705
50	681	12676
51	694	12665
52	707	12647
53	721	12643
54	734	12619
55	746	12588
56	760	12578
57	773	12558
58	785	12534
59	799	12528
60	812	12499
61	825	12488
62	837	12461
63	850	12442
64	865	12446
65	877	12421
66	891	12413
67	903	12386
68	916	12363
69	929	12349
70	942	12327
71	955	12319
72	968	12297
73	980	12270
74	994	12266
75	1007	12249
76	1020	12238
77	1033	12218
78	1045	12193
79	1059	12180
80	1073	12178
81	1085	12155
82	1098	12132
83	1113	12142
84	1126	12128
85	1140	12119
86	1152	12099
87	1165	12077
88	1178	12066
89	1191	12043
90	1204	12035
91	1218	12027
92	1231	12010
93	1246	12015
94	1260	12011
95	1274	11999
96	1286	11978
97	1299	11956
98	1312	11947
99	1325	11926
100	1338	11913
101	1352	11906
102	1365	11891
103	1379	11887
104	1392	11870
105	1406	11863
106	1419	11844
107	1432	11829
108	1446	11820
109	1458	11802
110	1472	11794
111	1485	11779
112	1498	11760
113	1510	11743
114	1524	11733
115	1538	11725
116	1554	11729
117	1570	11737
118	1585	11738
119	1600	11739
120	1614	11728
121	1628	11722
122	1645	11732
123	1660	11733
124	1676	11734
125	1690	11726
126	1704	11714
127	1716	11695
128	1729	11677
129	1742	11663
130	1755	11645
131	1770	11639
132	1783	11623
133	1795	11606
134	1809	11594
135	1821	11574
136	1835	11562
137	1849	11554
138	1862	11534
139	1875	11523
140	1888	11506
141	1901	11487
142	1913	11468
143	1927	11456
144	1940	11440
145	1953	11429
146	1966	11412
147	1979	11396
148	1993	11384
149	2006	11370
150	2019	11353
151	2032	11341
152	2045	11325
153	2058	11306
154	2072	11297
155	2085	11281
156	2097	11262
157	2110	11246
158	2124	11237
159	2137	11220
160	2152	11217
161	2165	11203
162	2178	11187
163	2192	11177
164	2206	11164
165	2219	11152
166	2233	11138
167	2246	11123
168	2259	11109
169	2272	11094
170	2286	11085
171	2299	11070
172	2312	11054
173	2328	11055
174	2341	11040
175	2354	11023
176	2369	11016
177	2382	11000
178	2394	10983
179	2408	10972
180	2421	10954
181	2434	10941
182	2447	10925
183	2459	10909
184	2472	10893
185	2487	10885
186	2499	10868
187	2513	10855
188	2526	10842
189	2539	10826
190	2552	10810
191	2565	10798
192	2578	10781
193	2591	10765
194	2605	10755
195	2617	10738
196	2632	10729
197	2645	10715
198	2657	10698
199	2670	10682
200	2684	10671
201	2700	10667
202	2714	10658
203	2728	10646
204	2741	10630
205	2755	10621
206	2768	10605
207	2783	10597
208	2796	10583
209	2809	10568
210	2825	10563
211	2838	10550
212	2851	10534
213	2864	10522
214	2877	10506
215	2890	10490
216	2903	10475
217	2915	10459
218	2929	10445
219	2941	10429
220	2954	10413
221	2966	10397
222	2980	10384
223	2992	10368
224	3006	10356
225	3020	10343
226	3032	10326
227	3045	10310
